id,target_feature
0,0
1,0
2,1
3,1
4,1
5,0
6,1
7,1
8,0
9,0
10,1
11,1
12,1
13,0
14,0
15,1
16,0
17,1
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,1
26,1
27,1
28,1
29,1
30,0
31,0
32,1
33,0
34,0
35,0
36,1
37,0
38,1
39,1
40,1
41,1
42,1
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,1
51,0
52,0
53,1
54,0
55,1
56,0
57,0
58,0
59,1
60,0
61,0
62,1
63,1
64,1
65,0
66,1
67,0
68,1
69,1
70,1
71,0
72,0
73,0
74,0
75,0
76,1
77,1
78,1
79,0
80,0
81,1
82,1
83,1
84,1
85,0
86,0
87,0
88,0
89,0
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,0
99,1
100,0
101,1
102,1
103,1
104,0
105,1
106,1
107,1
108,0
109,0
110,0
111,0
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,0
120,1
121,0
122,0
123,1
124,0
125,0
126,1
127,0
128,0
129,0
130,0
131,1
132,0
133,0
134,0
135,1
136,0
137,1
138,1
139,1
140,1
141,1
142,0
143,1
144,1
145,0
146,0
147,0
148,1
149,1
150,1
151,0
152,1
153,0
154,1
155,1
156,1
157,1
158,0
159,1
160,1
161,0
162,1
163,0
164,1
165,1
166,0
167,1
168,1
169,0
170,0
171,1
172,0
173,1
174,0
175,1
176,1
177,1
178,1
179,0
180,1
181,1
182,1
183,0
184,0
185,1
186,1
187,0
188,1
189,1
190,0
191,0
192,0
193,0
194,1
195,0
196,0
197,1
198,1
199,0
200,1
201,1
202,1
203,0
204,1
205,1
206,1
207,1
208,1
209,0
210,1
211,0
212,1
213,0
214,0
215,0
216,1
217,1
218,1
219,0
220,1
221,1
222,1
223,1
224,1
225,0
226,1
227,1
228,0
229,1
230,0
231,0
232,0
233,1
234,1
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,0
246,1
247,1
248,0
249,1
250,1
251,1
252,1
253,0
254,0
255,0
256,0
257,0
258,0
259,1
260,1
261,1
262,0
263,1
264,1
265,0
266,1
267,1
268,0
269,1
270,1
271,1
272,0
273,1
274,1
275,0
276,0
277,1
278,1
279,1
280,1
281,1
282,0
283,1
284,1
285,0
286,1
287,1
288,1
289,1
290,1
291,0
292,1
293,1
294,1
295,0
296,0
297,1
298,0
299,0
300,1
301,1
302,1
303,0
304,0
305,0
306,0
307,0
308,1
309,1
310,1
311,1
312,0
313,1
314,1
315,0
316,0
317,0
318,1
319,0
320,0
321,1
322,0
323,1
324,0
325,1
326,1
327,0
328,0
329,0
330,1
331,1
332,0
333,1
334,0
335,0
336,0
337,0
338,1
339,1
340,1
341,0
342,1
343,1
344,0
345,0
346,1
347,0
348,0
349,0
350,1
351,1
352,1
353,1
354,1
355,0
356,0
357,0
358,1
359,0
360,0
361,1
362,0
363,0
364,0
365,1
366,1
367,1
368,1
369,1
370,0
371,0
372,1
373,1
374,1
375,1
376,0
377,0
378,1
379,1
380,1
381,1
382,0
383,0
384,1
385,0
386,0
387,1
388,0
389,0
390,0
391,0
392,1
393,0
394,0
395,0
396,0
397,1
398,0
399,1
400,1
401,1
402,1
403,0
404,0
405,0
406,0
407,0
408,1
409,1
410,0
411,0
412,1
413,0
414,1
415,1
416,0
417,1
418,1
419,0
420,0
421,1
422,0
423,1
424,1
425,0
426,1
427,0
428,0
429,0
430,1
431,1
432,0
433,0
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,0
442,1
443,0
444,0
445,0
446,1
447,0
448,0
449,1
450,1
451,0
452,1
453,1
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,0
468,1
469,0
470,1
471,0
472,1
473,1
474,1
475,1
476,0
477,1
478,0
479,0
480,1
481,1
482,1
483,1
484,1
485,0
486,0
487,1
488,1
489,0
490,0
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,0
501,1
502,0
503,1
504,1
505,1
506,0
507,1
508,1
509,0
510,1
511,0
512,0
513,1
514,0
515,0
516,1
517,1
518,1
519,1
520,1
521,0
522,1
523,1
524,1
525,1
526,1
527,1
528,0
529,0
530,1
531,0
